Residence,Region,Sub-Region,Total,Period
"Others, Southeast Asia",Asia,Southeast Asia,8908,2011-04
"Others, Asia",Asia,,1007,2011-04
Canada,America,,5281,2011-04
United States of America,America,,34900,2011-04
Mexico,America,,200,2011-04
Brazil,America,,393,2011-04
Philippines,Asia,Southeast Asia,9906,2011-04
HongKong. Macao,Asia,,55065,2011-05
"Others, America",America,,581,2011-05
"Korea,Republic of",Asia,,20413,2011-05
Netherlands,Europe,,1070,2011-05
Switzerland,Europe,,592,2011-05
Spain,Europe,,519,2011-05
United Kingdom,Europe,,3427,2011-05
Austria,Europe,,447,2011-05
Greece,Europe,,104,2011-05
Sweden,Europe,,553,2011-05
Russian Federation,Europe,,764,2011-05
"Others, Europe",Europe,,2363,2011-05
Australia,Oceania,,3856,2011-05
New Zealand,Oceania,,677,2011-05
"Others, Oceania",Oceania,,105,2011-05
S. Africa,Africa,,344,2011-05
"Others, Africa",Africa,,356,2011-05
Unstated,,,3715,2011-05
Italy,Europe,,1105,2011-05
Japan,Asia,,87984,2011-05
Germany,Europe,,3929,2011-05
Belgium,Europe,,348,2011-05
India,Asia,,2297,2011-05
Middle East,Asia,,1448,2011-05
Malaysia,Asia,Southeast Asia,23830,2011-05
Singapore,Asia,Southeast Asia,22275,2011-05
Indonesia,Asia,Southeast Asia,10941,2011-05
Philippines,Asia,Southeast Asia,9751,2011-05
Thailand,Asia,Southeast Asia,8384,2011-05
"Others, Southeast Asia",Asia,Southeast Asia,9207,2011-05
"Others, Asia",Asia,,961,2011-05
Canada,America,,4881,2011-05
United States of America,America,,34442,2011-05
Mexico,America,,202,2011-05
Brazil,America,,457,2011-05
Argentina,America,,127,2011-05
Mainland China,Asia,,150479,2011-05
France,Europe,,2472,2011-05
HongKong. Macao,Asia,,74923,2011-06
Germany,Europe,,2761,2011-06
"Others, Africa",Africa,,330,2011-06
Mexico,America,,132,2011-06
United States of America,America,,38763,2011-06
Canada,America,,4237,2011-06
"Others, Asia",Asia,,878,2011-06
"Others, Southeast Asia",Asia,Southeast Asia,9778,2011-06
