Residence,Region,Sub-Region,Total,Period
Mexico,America,,173,2012-07
Switzerland,Europe,,712,2012-07
"Others, Africa",Africa,,351,2012-07
United States of America,America,,30688,2012-08
Brazil,America,,268,2012-08
Unstated,,,2064,2012-08
Mexico,America,,154,2012-08
Philippines,Asia,Southeast Asia,7914,2012-08
Canada,America,,5294,2012-08
"Others, Asia",Asia,,785,2012-08
"Others, Southeast Asia",Asia,Southeast Asia,658,2012-08
Argentina,America,,48,2012-08
Vietnam,Asia,Southeast Asia,7887,2012-08
Indonesia,Asia,Southeast Asia,18795,2012-08
Singapore,Asia,Southeast Asia,15117,2012-08
Malaysia,Asia,Southeast Asia,23991,2012-08
Middle East,Asia,,898,2012-08
India,Asia,,1769,2012-08
"Korea,Republic of",Asia,,21566,2012-08
Japan,Asia,,130982,2012-08
Thailand,Asia,Southeast Asia,7134,2012-08
Mainland China,Asia,,205002,2012-08
"Others, America",America,,741,2012-08
France,Europe,,2618,2012-08
"Others, Africa",Africa,,305,2012-08
S. Africa,Africa,,392,2012-08
"Others, Oceania",Oceania,,106,2012-08
New Zealand,Oceania,,630,2012-08
Australia,Oceania,,3317,2012-08
"Others, Europe",Europe,,2254,2012-08
Russian Federation,Europe,,430,2012-08
Belgium,Europe,,370,2012-08
Sweden,Europe,,411,2012-08
Austria,Europe,,446,2012-08
United Kingdom,Europe,,3105,2012-08
Spain,Europe,,510,2012-08
Switzerland,Europe,,508,2012-08
Netherlands,Europe,,1148,2012-08
Italy,Europe,,818,2012-08
Germany,Europe,,3330,2012-08
Greece,Europe,,79,2012-08
HongKong. Macao,Asia,,104590,2012-08
Netherlands,Europe,,1170,2012-09
Switzerland,Europe,,585,2012-09
Italy,Europe,,1040,2012-09
Germany,Europe,,3592,2012-09
France,Europe,,2321,2012-09
Belgium,Europe,,414,2012-09
"Others, America",America,,819,2012-09
Argentina,America,,103,2012-09
Brazil,America,,242,2012-09
Spain,Europe,,494,2012-09
United Kingdom,Europe,,2949,2012-09
"Others, Africa",Africa,,608,2012-09
Greece,Europe,,109,2012-09
Sweden,Europe,,607,2012-09
Russian Federation,Europe,,478,2012-09
"Others, Europe",Europe,,2602,2012-09
Australia,Oceania,,4998,2012-09
New Zealand,Oceania,,806,2012-09
"Others, Oceania",Oceania,,133,2012-09
S. Africa,Africa,,274,2012-09
Mexico,America,,220,2012-09
Unstated,,,2991,2012-09
Austria,Europe,,406,2012-09
United States of America,America,,28502,2012-09
"Others, Asia",Asia,,1113,2012-09
India,Asia,,2271,2012-09
HongKong. Macao,Asia,,78714,2012-09
Mainland China,Asia,,185922,2012-09
Japan,Asia,,121459,2012-09
"Korea,Republic of",Asia,,19439,2012-09
Canada,America,,4446,2012-09
Malaysia,Asia,Southeast Asia,24700,2012-09
Middle East,Asia,,1052,2012-09
Indonesia,Asia,Southeast Asia,12457,2012-09
Philippines,Asia,Southeast Asia,8363,2012-09
Thailand,Asia,Southeast Asia,7091,2012-09
Vietnam,Asia,Southeast Asia,7876,2012-09
"Others, Southeast Asia",Asia,Southeast Asia,570,2012-09
Singapore,Asia,Southeast Asia,18965,2012-09
France,Europe,,2703,2012-10
Belgium,Europe,,489,2012-10
Germany,Europe,,4540,2012-10
"Others, Oceania",Oceania,,98,2012-10
Netherlands,Europe,,1578,2012-10
New Zealand,Oceania,,957,2012-10
Italy,Europe,,1195,2012-10
Australia,Oceania,,5485,2012-10
Brazil,America,,366,2012-10
Russian Federation,Europe,,809,2012-10
Sweden,Europe,,652,2012-10
Greece,Europe,,121,2012-10
"Others, America",America,,814,2012-10
Argentina,America,,112,2012-10
Switzerland,Europe,,724,2012-10
Mexico,America,,243,2012-10
United States of America,America,,34264,2012-10
"Others, Europe",Europe,,2901,2012-10
Spain,Europe,,555,2012-10
Mainland China,Asia,,224872,2012-10
Austria,Europe,,536,2012-10
Unstated,,,4710,2012-10
"Others, Southeast Asia",Asia,Southeast Asia,1200,2012-10
Vietnam,Asia,Southeast Asia,6942,2012-10
Thailand,Asia,Southeast Asia,8441,2012-10
Philippines,Asia,Southeast Asia,8789,2012-10
Indonesia,Asia,Southeast Asia,12994,2012-10
Singapore,Asia,Southeast Asia,28557,2012-10
United Kingdom,Europe,,3822,2012-10
Malaysia,Asia,Southeast Asia,29445,2012-10
India,Asia,,1969,2012-10
"Korea,Republic of",Asia,,20839,2012-10
Japan,Asia,,117996,2012-10
"Others, Asia",Asia,,951,2012-10
HongKong. Macao,Asia,,71370,2012-10
"Others, Africa",Africa,,478,2012-10
S. Africa,Africa,,257,2012-10
Middle East,Asia,,1206,2012-10
Canada,America,,6362,2012-10
Austria,Europe,,605,2012-11
France,Europe,,3210,2012-11
Thailand,Asia,Southeast Asia,7694,2012-11
Vietnam,Asia,Southeast Asia,6828,2012-11
"Others, Southeast Asia",Asia,Southeast Asia,653,2012-11
"Others, Asia",Asia,,1191,2012-11
Canada,America,,7036,2012-11
Philippines,Asia,Southeast Asia,8679,2012-11
Germany,Europe,,4409,2012-11
United States of America,America,,37043,2012-11
Netherlands,Europe,,1582,2012-11
Greece,Europe,,120,2012-11
Sweden,Europe,,722,2012-11
Argentina,America,,121,2012-11
Brazil,America,,307,2012-11
Russian Federation,Europe,,691,2012-11
"Others, Europe",Europe,,3397,2012-11
Australia,Oceania,,5424,2012-11
New Zealand,Oceania,,998,2012-11
"Others, Oceania",Oceania,,99,2012-11
S. Africa,Africa,,284,2012-11
"Others, Africa",Africa,,534,2012-11
Unstated,,,2876,2012-11
Mexico,America,,269,2012-11
Spain,Europe,,691,2012-11
Switzerland,Europe,,956,2012-11
Indonesia,Asia,Southeast Asia,13442,2012-11
"Others, America",America,,723,2012-11
Italy,Europe,,1603,2012-11
Singapore,Asia,Southeast Asia,42545,2012-11
United Kingdom,Europe,,4199,2012-11
Middle East,Asia,,1163,2012-11
India,Asia,,2027,2012-11
"Korea,Republic of",Asia,,23001,2012-11
Japan,Asia,,125948,2012-11
Mainland China,Asia,,242967,2012-11
HongKong. Macao,Asia,,74786,2012-11
Belgium,Europe,,552,2012-11
Malaysia,Asia,Southeast Asia,42242,2012-11
Russian Federation,Europe,,544,2012-12
Sweden,Europe,,612,2012-12
Greece,Europe,,101,2012-12
Austria,Europe,,361,2012-12
United States of America,America,,39727,2012-12
Mexico,America,,169,2012-12
Brazil,America,,333,2012-12
Argentina,America,,94,2012-12
Germany,Europe,,3493,2012-12
Belgium,Europe,,301,2012-12
France,Europe,,2562,2012-12
"Others, Europe",Europe,,2561,2012-12
Italy,Europe,,903,2012-12
Netherlands,Europe,,1346,2012-12
Switzerland,Europe,,575,2012-12
Spain,Europe,,416,2012-12
United Kingdom,Europe,,3162,2012-12
"Others, America",America,,438,2012-12
Australia,Oceania,,8131,2012-12
S. Africa,Africa,,496,2012-12
"Others, Oceania",Oceania,,78,2012-12
HongKong. Macao,Asia,,98009,2012-12
Mainland China,Asia,,228175,2012-12
Japan,Asia,,120024,2012-12
"Korea,Republic of",Asia,,24425,2012-12
India,Asia,,1650,2012-12
Middle East,Asia,,905,2012-12
Malaysia,Asia,Southeast Asia,45681,2012-12
New Zealand,Oceania,,1488,2012-12
Indonesia,Asia,Southeast Asia,16517,2012-12
Singapore,Asia,Southeast Asia,60331,2012-12
Thailand,Asia,Southeast Asia,8677,2012-12
Vietnam,Asia,Southeast Asia,6582,2012-12
"Others, Southeast Asia",Asia,Southeast Asia,927,2012-12
"Others, Asia",Asia,,1117,2012-12
Canada,America,,6922,2012-12
Unstated,,,5074,2012-12
"Others, Africa",Africa,,268,2012-12
Philippines,Asia,Southeast Asia,9413,2012-12
Indonesia,Asia,Southeast Asia,12367,2013-01
Middle East,Asia,,964,2013-01
Malaysia,Asia,Southeast Asia,17032,2013-01
Singapore,Asia,Southeast Asia,20646,2013-01
Philippines,Asia,Southeast Asia,8084,2013-01
Mexico,America,,157,2013-01
Vietnam,Asia,Southeast Asia,5143,2013-01
Japan,Asia,,108872,2013-01
Mainland China,Asia,,195388,2013-01
HongKong. Macao,Asia,,56650,2013-01
Unstated,,,3861,2013-01
"Others, Africa",Africa,,258,2013-01
S. Africa,Africa,,316,2013-01
Thailand,Asia,Southeast Asia,4615,2013-01
"Others, Oceania",Oceania,,52,2013-01
Australia,Oceania,,6604,2013-01
"Others, Europe",Europe,,1957,2013-01
Russian Federation,Europe,,440,2013-01
Sweden,Europe,,570,2013-01
Greece,Europe,,83,2013-01
Austria,Europe,,442,2013-01
New Zealand,Oceania,,911,2013-01
India,Asia,,1710,2013-01
"Korea,Republic of",Asia,,31129,2013-01
Spain,Europe,,442,2013-01
"Others, Southeast Asia",Asia,Southeast Asia,476,2013-01
"Others, Asia",Asia,,490,2013-01
Canada,America,,5120,2013-01
United States of America,America,,29703,2013-01
United Kingdom,Europe,,2869,2013-01
Argentina,America,,103,2013-01
Brazil,America,,354,2013-01
Belgium,Europe,,316,2013-01
France,Europe,,2217,2013-01
Germany,Europe,,3430,2013-01
Italy,Europe,,915,2013-01
Netherlands,Europe,,1306,2013-01
Switzerland,Europe,,508,2013-01
"Others, America",America,,596,2013-01
"Others, Oceania",Oceania,,54,2013-02
Unstated,,,4217,2013-02
"Others, Africa",Africa,,233,2013-02
S. Africa,Africa,,457,2013-02
New Zealand,Oceania,,768,2013-02
Netherlands,Europe,,1158,2013-02
"Others, Europe",Europe,,1906,2013-02
Australia,Oceania,,4170,2013-02
HongKong. Macao,Asia,,83787,2013-02
Mainland China,Asia,,216021,2013-02
Japan,Asia,,103581,2013-02
"Korea,Republic of",Asia,,24129,2013-02
India,Asia,,1513,2013-02
Middle East,Asia,,651,2013-02
Malaysia,Asia,Southeast Asia,29064,2013-02
Singapore,Asia,Southeast Asia,16931,2013-02
Philippines,Asia,Southeast Asia,7255,2013-02
Thailand,Asia,Southeast Asia,6844,2013-02
Vietnam,Asia,Southeast Asia,9566,2013-02
"Others, Southeast Asia",Asia,Southeast Asia,685,2013-02
"Others, Asia",Asia,,863,2013-02
Canada,America,,5429,2013-02
Indonesia,Asia,Southeast Asia,12331,2013-02
Mexico,America,,120,2013-02
United States of America,America,,27707,2013-02
Russian Federation,Europe,,394,2013-02
Sweden,Europe,,402,2013-02
Greece,Europe,,89,2013-02
Austria,Europe,,373,2013-02
Spain,Europe,,424,2013-02
Switzerland,Europe,,529,2013-02
United Kingdom,Europe,,2968,2013-02
Germany,Europe,,2911,2013-02
France,Europe,,2479,2013-02
Belgium,Europe,,269,2013-02
"Others, America",America,,837,2013-02
Argentina,America,,70,2013-02
Brazil,America,,220,2013-02
Italy,Europe,,751,2013-02
United States of America,America,,37600,2013-03
Thailand,Asia,Southeast Asia,9075,2013-03
Canada,America,,6728,2013-03
"Others, Asia",Asia,,931,2013-03
"Others, Southeast Asia",Asia,Southeast Asia,707,2013-03
Vietnam,Asia,Southeast Asia,10048,2013-03
Philippines,Asia,Southeast Asia,10359,2013-03
Japan,Asia,,149824,2013-03
Singapore,Asia,Southeast Asia,34648,2013-03
Malaysia,Asia,Southeast Asia,33741,2013-03
Middle East,Asia,,1521,2013-03
India,Asia,,2400,2013-03
"Korea,Republic of",Asia,,24252,2013-03
Mexico,America,,255,2013-03
Mainland China,Asia,,269455,2013-03
HongKong. Macao,Asia,,113443,2013-03
Indonesia,Asia,Southeast Asia,13679,2013-03
Brazil,America,,439,2013-03
"Others, Oceania",Oceania,,64,2013-03
"Others, America",America,,653,2013-03
Germany,Europe,,5127,2013-03
Italy,Europe,,1542,2013-03
Netherlands,Europe,,1531,2013-03
Switzerland,Europe,,849,2013-03
United Kingdom,Europe,,4327,2013-03
Austria,Europe,,555,2013-03
Greece,Europe,,141,2013-03
Sweden,Europe,,748,2013-03
Russian Federation,Europe,,730,2013-03
"Others, Europe",Europe,,3398,2013-03
Australia,Oceania,,6044,2013-03
New Zealand,Oceania,,953,2013-03
S. Africa,Africa,,363,2013-03
France,Europe,,2916,2013-03
"Others, Africa",Africa,,444,2013-03
Unstated,,,8403,2013-03
Belgium,Europe,,506,2013-03
Argentina,America,,96,2013-03
Spain,Europe,,738,2013-03
Australia,Oceania,,5481,2013-04
"Others, Europe",Europe,,2557,2013-04
New Zealand,Oceania,,906,2013-04
"Others, Oceania",Oceania,,74,2013-04
S. Africa,Africa,,298,2013-04
"Others, Africa",Africa,,481,2013-04
Unstated,,,6992,2013-04
Russian Federation,Europe,,733,2013-04
HongKong. Macao,Asia,,84134,2013-04
Mainland China,Asia,,298059,2013-04
Spain,Europe,,561,2013-04
Sweden,Europe,,666,2013-04
Greece,Europe,,117,2013-04
Austria,Europe,,400,2013-04
United Kingdom,Europe,,3342,2013-04
Switzerland,Europe,,691,2013-04
Netherlands,Europe,,1357,2013-04
Italy,Europe,,1065,2013-04
Germany,Europe,,3873,2013-04
France,Europe,,2808,2013-04
"Others, America",America,,687,2013-04
Argentina,America,,94,2013-04
Brazil,America,,342,2013-04
Mexico,America,,235,2013-04
Belgium,Europe,,426,2013-04
Canada,America,,5567,2013-04
Japan,Asia,,102742,2013-04
"Korea,Republic of",Asia,,22332,2013-04
India,Asia,,1987,2013-04
United States of America,America,,33608,2013-04
Malaysia,Asia,Southeast Asia,29585,2013-04
Singapore,Asia,Southeast Asia,30453,2013-04
Middle East,Asia,,1593,2013-04
Philippines,Asia,Southeast Asia,10510,2013-04
Thailand,Asia,Southeast Asia,12710,2013-04
Vietnam,Asia,Southeast Asia,9356,2013-04
"Others, Southeast Asia",Asia,Southeast Asia,1006,2013-04
"Others, Asia",Asia,,695,2013-04
Indonesia,Asia,Southeast Asia,12978,2013-04
Belgium,Europe,,330,2013-05
"Others, Southeast Asia",Asia,Southeast Asia,545,2013-05
"Others, America",America,,605,2013-05
Argentina,America,,54,2013-05
Brazil,America,,251,2013-05
Mexico,America,,162,2013-05
United States of America,America,,33747,2013-05
Canada,America,,5768,2013-05
"Others, Asia",Asia,,480,2013-05
Vietnam,Asia,Southeast Asia,9040,2013-05
"Others, Africa",Africa,,312,2013-05
Philippines,Asia,Southeast Asia,8530,2013-05
Indonesia,Asia,Southeast Asia,13193,2013-05
Singapore,Asia,Southeast Asia,29570,2013-05
Malaysia,Asia,Southeast Asia,33495,2013-05
Middle East,Asia,,1027,2013-05
India,Asia,,1991,2013-05
"Korea,Republic of",Asia,,23154,2013-05
Japan,Asia,,103804,2013-05
France,Europe,,2185,2013-05
Thailand,Asia,Southeast Asia,9751,2013-05
Germany,Europe,,3278,2013-05
HongKong. Macao,Asia,,96701,2013-05
Netherlands,Europe,,1171,2013-05
Unstated,,,7769,2013-05
Mainland China,Asia,,217260,2013-05
S. Africa,Africa,,223,2013-05
Italy,Europe,,946,2013-05
New Zealand,Oceania,,690,2013-05
Australia,Oceania,,4236,2013-05
"Others, Europe",Europe,,2068,2013-05
"Others, Oceania",Oceania,,84,2013-05
Sweden,Europe,,517,2013-05
Greece,Europe,,65,2013-05
Austria,Europe,,365,2013-05
United Kingdom,Europe,,3080,2013-05
Spain,Europe,,443,2013-05
Switzerland,Europe,,594,2013-05
Russian Federation,Europe,,459,2013-05
New Zealand,Oceania,,771,2013-06
"Others, Oceania",Oceania,,109,2013-06
S. Africa,Africa,,353,2013-06
"Others, Africa",Africa,,449,2013-06
Unstated,,,6421,2013-06
Belgium,Europe,,396,2013-06
"Others, America",America,,687,2013-06
Vietnam,Asia,Southeast Asia,11519,2013-06
United Kingdom,Europe,,3489,2013-06
Canada,America,,5012,2013-06
"Others, Asia",Asia,,577,2013-06
"Others, Southeast Asia",Asia,Southeast Asia,714,2013-06
Australia,Oceania,,4806,2013-06
"Others, Europe",Europe,,2809,2013-06
Russian Federation,Europe,,923,2013-06
Sweden,Europe,,625,2013-06
Greece,Europe,,112,2013-06
Austria,Europe,,332,2013-06
India,Asia,,2333,2013-06
France,Europe,,2682,2013-06
Spain,Europe,,599,2013-06
Switzerland,Europe,,597,2013-06
Netherlands,Europe,,1322,2013-06
Italy,Europe,,1186,2013-06
Thailand,Asia,Southeast Asia,9829,2013-06
Philippines,Asia,Southeast Asia,4459,2013-06
Indonesia,Asia,Southeast Asia,15834,2013-06
Singapore,Asia,Southeast Asia,31981,2013-06
Germany,Europe,,3575,2013-06
HongKong. Macao,Asia,,123793,2013-06
Malaysia,Asia,Southeast Asia,23681,2013-06
Middle East,Asia,,1543,2013-06
Mainland China,Asia,,220894,2013-06
Japan,Asia,,91783,2013-06
United States of America,America,,39543,2013-06
Mexico,America,,201,2013-06
"Korea,Republic of",Asia,,21165,2013-06
Argentina,America,,90,2013-06
Brazil,America,,383,2013-06
"Others, Southeast Asia",Asia,Southeast Asia,612,2013-07
Austria,Europe,,536,2013-07
United Kingdom,Europe,,3517,2013-07
Spain,Europe,,594,2013-07
Thailand,Asia,Southeast Asia,7513,2013-07
Vietnam,Asia,Southeast Asia,11088,2013-07
"Others, Asia",Asia,,535,2013-07
Canada,America,,5770,2013-07
United States of America,America,,33929,2013-07
Mexico,America,,219,2013-07
Brazil,America,,290,2013-07
Argentina,America,,56,2013-07
"Others, America",America,,582,2013-07
Belgium,Europe,,431,2013-07
France,Europe,,3056,2013-07
Germany,Europe,,3745,2013-07
Italy,Europe,,1164,2013-07
Netherlands,Europe,,1356,2013-07
Switzerland,Europe,,710,2013-07
Greece,Europe,,93,2013-07
Sweden,Europe,,489,2013-07
Russian Federation,Europe,,620,2013-07
"Others, Europe",Europe,,2492,2013-07
HongKong. Macao,Asia,,107710,2013-07
Mainland China,Asia,,248683,2013-07
Japan,Asia,,100183,2013-07
"Korea,Republic of",Asia,,23025,2013-07
India,Asia,,1715,2013-07
Malaysia,Asia,Southeast Asia,20765,2013-07
Singapore,Asia,Southeast Asia,19464,2013-07
Middle East,Asia,,1119,2013-07
Philippines,Asia,Southeast Asia,6452,2013-07
Unstated,,,5875,2013-07
"Others, Africa",Africa,,330,2013-07
S. Africa,Africa,,323,2013-07
"Others, Oceania",Oceania,,93,2013-07
New Zealand,Oceania,,821,2013-07
Australia,Oceania,,4151,2013-07
Indonesia,Asia,Southeast Asia,15126,2013-07
Argentina,America,,68,2013-08
"Others, Southeast Asia",Asia,Southeast Asia,691,2013-08
"Others, Asia",Asia,,678,2013-08
Canada,America,,5327,2013-08
Brazil,America,,285,2013-08
"Others, America",America,,875,2013-08
United Kingdom,Europe,,3512,2013-08
France,Europe,,2772,2013-08
Vietnam,Asia,Southeast Asia,12102,2013-08
Thailand,Asia,Southeast Asia,7527,2013-08
Philippines,Asia,Southeast Asia,6041,2013-08
Indonesia,Asia,Southeast Asia,18537,2013-08
Singapore,Asia,Southeast Asia,21430,2013-08
Malaysia,Asia,Southeast Asia,32133,2013-08
Middle East,Asia,,879,2013-08
India,Asia,,1730,2013-08
"Korea,Republic of",Asia,,29455,2013-08
Japan,Asia,,128735,2013-08
Mainland China,Asia,,240490,2013-08
HongKong. Macao,Asia,,121910,2013-08
Unstated,,,4757,2013-08
Belgium,Europe,,306,2013-08
"Others, Africa",Africa,,314,2013-08
"Others, Oceania",Oceania,,149,2013-08
Germany,Europe,,3420,2013-08
Italy,Europe,,948,2013-08
Netherlands,Europe,,1102,2013-08
Switzerland,Europe,,606,2013-08
Spain,Europe,,579,2013-08
S. Africa,Africa,,409,2013-08
United States of America,America,,30737,2013-08
Greece,Europe,,58,2013-08
Sweden,Europe,,402,2013-08
Russian Federation,Europe,,530,2013-08
"Others, Europe",Europe,,2418,2013-08
Australia,Oceania,,3472,2013-08
New Zealand,Oceania,,663,2013-08
Austria,Europe,,415,2013-08
Mexico,America,,222,2013-08
"Others, Europe",Europe,,2619,2013-09
Mainland China,Asia,,270788,2013-09
Belgium,Europe,,465,2013-09
Brazil,America,,267,2013-09
Argentina,America,,77,2013-09
"Others, America",America,,1001,2013-09
Russian Federation,Europe,,594,2013-09
France,Europe,,2461,2013-09
Germany,Europe,,3838,2013-09
Italy,Europe,,1102,2013-09
Netherlands,Europe,,1408,2013-09
Mexico,America,,163,2013-09
Switzerland,Europe,,646,2013-09
United Kingdom,Europe,,3399,2013-09
Unstated,,,3049,2013-09
"Others, Africa",Africa,,629,2013-09
S. Africa,Africa,,354,2013-09
"Others, Oceania",Oceania,,182,2013-09
New Zealand,Oceania,,878,2013-09
Sweden,Europe,,641,2013-09
Australia,Oceania,,5631,2013-09
Spain,Europe,,585,2013-09
Austria,Europe,,486,2013-09
United States of America,America,,29102,2013-09
Middle East,Asia,,996,2013-09
HongKong. Macao,Asia,,85808,2013-09
Japan,Asia,,121895,2013-09
"Korea,Republic of",Asia,,30379,2013-09
India,Asia,,2006,2013-09
Malaysia,Asia,Southeast Asia,31130,2013-09
Singapore,Asia,Southeast Asia,25116,2013-09
Greece,Europe,,99,2013-09
Philippines,Asia,Southeast Asia,7200,2013-09
Thailand,Asia,Southeast Asia,7314,2013-09
Vietnam,Asia,Southeast Asia,11982,2013-09
"Others, Southeast Asia",Asia,Southeast Asia,575,2013-09
"Others, Asia",Asia,,1024,2013-09
Canada,America,,5130,2013-09
Indonesia,Asia,Southeast Asia,13053,2013-09
Mainland China,Asia,,221004,2013-10
Netherlands,Europe,,1623,2013-10
Australia,Oceania,,5608,2013-10
New Zealand,Oceania,,950,2013-10
"Others, Oceania",Oceania,,130,2013-10
HongKong. Macao,Asia,,92095,2013-10
"Others, Southeast Asia",Asia,Southeast Asia,1400,2013-10
S. Africa,Africa,,293,2013-10
Switzerland,Europe,,859,2013-10
Spain,Europe,,791,2013-10
"Others, Europe",Europe,,3001,2013-10
Russian Federation,Europe,,622,2013-10
Sweden,Europe,,797,2013-10
Greece,Europe,,118,2013-10
Japan,Asia,,128795,2013-10
"Others, Africa",Africa,,426,2013-10
"Others, America",America,,744,2013-10
"Korea,Republic of",Asia,,37295,2013-10
Vietnam,Asia,Southeast Asia,9651,2013-10
Thailand,Asia,Southeast Asia,10503,2013-10
Canada,America,,6937,2013-10
United Kingdom,Europe,,4004,2013-10
United States of America,America,,37037,2013-10
Philippines,Asia,Southeast Asia,9374,2013-10
Mexico,America,,221,2013-10
Brazil,America,,364,2013-10
Argentina,America,,78,2013-10
"Others, Asia",Asia,,680,2013-10
Belgium,Europe,,462,2013-10
France,Europe,,3029,2013-10
Germany,Europe,,4733,2013-10
Italy,Europe,,1293,2013-10
Indonesia,Asia,Southeast Asia,13259,2013-10
Singapore,Asia,Southeast Asia,32088,2013-10
Malaysia,Asia,Southeast Asia,38165,2013-10
Middle East,Asia,,1310,2013-10
India,Asia,,2329,2013-10
Unstated,,,6440,2013-10
Austria,Europe,,520,2013-10
Malaysia,Asia,Southeast Asia,52514,2013-11
"Others, Europe",Europe,,2884,2013-11
New Zealand,Oceania,,920,2013-11
Australia,Oceania,,5705,2013-11
Russian Federation,Europe,,668,2013-11
Sweden,Europe,,644,2013-11
Greece,Europe,,111,2013-11
Austria,Europe,,519,2013-11
United Kingdom,Europe,,4245,2013-11
Spain,Europe,,807,2013-11
Switzerland,Europe,,824,2013-11
Netherlands,Europe,,1601,2013-11
Italy,Europe,,1774,2013-11
Germany,Europe,,4741,2013-11
Belgium,Europe,,486,2013-11
"Others, America",America,,602,2013-11
Argentina,America,,243,2013-11
Brazil,America,,338,2013-11
Mexico,America,,192,2013-11
United States of America,America,,38399,2013-11
Canada,America,,7645,2013-11
"Others, Asia",Asia,,1121,2013-11
"Others, Southeast Asia",Asia,Southeast Asia,773,2013-11
Vietnam,Asia,Southeast Asia,9225,2013-11
Thailand,Asia,Southeast Asia,8831,2013-11
Philippines,Asia,Southeast Asia,9439,2013-11
Indonesia,Asia,Southeast Asia,12495,2013-11
Unstated,,,4273,2013-11
"Korea,Republic of",Asia,,40717,2013-11
India,Asia,,1936,2013-11
Singapore,Asia,Southeast Asia,42303,2013-11
"Others, Oceania",Oceania,,135,2013-11
S. Africa,Africa,,300,2013-11
France,Europe,,3043,2013-11
Middle East,Asia,,1243,2013-11
Japan,Asia,,138359,2013-11
Mainland China,Asia,,236031,2013-11
HongKong. Macao,Asia,,94945,2013-11
"Others, Africa",Africa,,399,2013-11
"Others, Asia",Asia,,986,2013-12
"Others, Southeast Asia",Asia,Southeast Asia,751,2013-12
Vietnam,Asia,Southeast Asia,9747,2013-12
India,Asia,,1668,2013-12
Middle East,Asia,,1072,2013-12
Australia,Oceania,,9869,2013-12
New Zealand,Oceania,,1463,2013-12
"Others, Africa",Africa,,356,2013-12
S. Africa,Africa,,475,2013-12
Unstated,,,3412,2013-12
HongKong. Macao,Asia,,122365,2013-12
Mainland China,Asia,,240629,2013-12
Malaysia,Asia,Southeast Asia,53021,2013-12
Singapore,Asia,Southeast Asia,60103,2013-12
Indonesia,Asia,Southeast Asia,18447,2013-12
"Others, Oceania",Oceania,,125,2013-12
Canada,America,,8260,2013-12
Brazil,America,,407,2013-12
Mexico,America,,148,2013-12
Thailand,Asia,Southeast Asia,9626,2013-12
"Others, Europe",Europe,,2699,2013-12
Russian Federation,Europe,,513,2013-12
Sweden,Europe,,635,2013-12
Greece,Europe,,81,2013-12
Austria,Europe,,407,2013-12
United Kingdom,Europe,,3686,2013-12
United States of America,America,,42948,2013-12
Spain,Europe,,565,2013-12
Netherlands,Europe,,1508,2013-12
Italy,Europe,,977,2013-12
Germany,Europe,,3862,2013-12
France,Europe,,2736,2013-12
Belgium,Europe,,363,2013-12
"Others, America",America,,465,2013-12
Argentina,America,,95,2013-12
Switzerland,Europe,,617,2013-12
Philippines,Asia,Southeast Asia,11995,2013-12
Japan,Asia,,142977,2013-12
"Korea,Republic of",Asia,,44269,2013-12
France,Europe,,2555,2014-01
Italy,Europe,,962,2014-01
Netherlands,Europe,,1619,2014-01
Switzerland,Europe,,552,2014-01
Spain,Europe,,572,2014-01
United Kingdom,Europe,,3931,2014-01
Austria,Europe,,436,2014-01
Belgium,Europe,,338,2014-01
Greece,Europe,,102,2014-01
Russian Federation,Europe,,472,2014-01
"Others, Europe",Europe,,2618,2014-01
Australia,Oceania,,8254,2014-01
New Zealand,Oceania,,1323,2014-01
"Others, Oceania",Oceania,,84,2014-01
S. Africa,Africa,,353,2014-01
"Others, Africa",Africa,,247,2014-01
Sweden,Europe,,592,2014-01
Unstated,,,97,2014-01
HongKong. Macao,Asia,,73629,2014-01
Brazil,America,,488,2014-01
Mainland China,Asia,,268861,2014-01
Japan,Asia,,113301,2014-01
"Korea,Republic of",Asia,,59401,2014-01
India,Asia,,1718,2014-01
Middle East,Asia,,927,2014-01
Malaysia,Asia,Southeast Asia,21277,2014-01
Singapore,Asia,Southeast Asia,20032,2014-01
Argentina,America,,133,2014-01
Indonesia,Asia,Southeast Asia,12259,2014-01
Thailand,Asia,Southeast Asia,5846,2014-01
Vietnam,Asia,Southeast Asia,6849,2014-01
"Others, Southeast Asia",Asia,Southeast Asia,732,2014-01
"Others, Asia",Asia,,802,2014-01
Canada,America,,6915,2014-01
United States of America,America,,34803,2014-01
Mexico,America,,154,2014-01
Philippines,Asia,Southeast Asia,9312,2014-01
"Others, America",America,,635,2014-01
Germany,Europe,,4053,2014-01
Mainland China,Asia,,305390,2014-02
Germany,Europe,,4194,2014-02
Italy,Europe,,1041,2014-02
Netherlands,Europe,,1489,2014-02
Switzerland,Europe,,636,2014-02
Spain,Europe,,597,2014-02
United Kingdom,Europe,,5195,2014-02
Austria,Europe,,569,2014-02
Greece,Europe,,113,2014-02
Sweden,Europe,,586,2014-02
Russian Federation,Europe,,473,2014-02
"Others, Europe",Europe,,2640,2014-02
Australia,Oceania,,5113,2014-02
New Zealand,Oceania,,827,2014-02
"Others, Oceania",Oceania,,128,2014-02
S. Africa,Africa,,488,2014-02
HongKong. Macao,Asia,,91294,2014-02
Unstated,,,72,2014-02
France,Europe,,3041,2014-02
Belgium,Europe,,360,2014-02
"Others, Africa",Africa,,353,2014-02
Argentina,America,,101,2014-02
"Others, America",America,,815,2014-02
